key,agency,description,category
ADMINISTRATIVE SERVICE,UCPD,Other,N
AGGRAVATED ASSAULTS,UCPD,Assault,V
ALARM,UCPD,Disturbance,N
ALARM SERVICE,UCPD,Alarm,N
ALL OTHER OFFENSES,UCPD,Other,N
ANIMAL CASE,UCPD,Animal,N
ARSON,UCPD,Arson,P
ATTEMPT RAPE,UCPD,Attempted rape,V
BERKELEY MUNICIPAL CODE VIOLATION,UCPD,Other,N
BOMB THREAT,UCPD,Bomb threat,Q
BURGLARY,UCPD,Burglary,P
BUSINESS/PROFESSIONS CODE VIOLATION,UCPD,Other,N
CALIFORNIA CODE OF REGULATIONS VIOLATIONS,UCPD,Other,N
DEMONSTRATION,UCPD,Demonstration,N
DISORDERLY CONDUCT,UCPD,Disorderly conduct,Q
DRIVING UNDER THE INFLUENCE,UCPD,DUI,Q
DRUG VIOLATIONS,UCPD,Narcotics,Q
EDUCATION CODE VIOLATION,UCPD,Other,N
EMBEZZLEMENT,UCPD,Embezzlement,P
EXPLOSION,UCPD,Explosion,N
FIRE,UCPD,Fire,N
FIRE ALARM,UCPD,Other,N
FORGERY AND COUNTERFEITING,UCPD,Fraud/forgery,Q
HAZARD,UCPD,Hazard,N
HEALTH AND SAFETY CODE VIOLATION,UCPD,Other,N
HOMICIDE,UCPD,Homicide,V
LARCENY/THEFT,UCPD,Theft,P
LIQUOR VIOLATIONS,UCPD,Alcohol,Q
LOCK OUT,UCPD,Other,N
MAINTENANCE ISSUE,UCPD,Maintenance,N
MEDICAL EVENT,UCPD,Medical,N
MISC. SERVICE,UCPD,Other,N
MISSING PERSON,UCPD,Missing person,Q
MOTOR VEHICLE THEFT,UCPD,Theft,P
MUTUAL AID SERVICE,UCPD,Other,N
OTHER ASSAULTS,UCPD,Assault,V
OUTSIDE ASSIST,UCPD,Other,N
PEDESTRIAN STOP,UCPD,Other,N
PENAL CODE VIOLATION,UCPD,Other,N
RAPE,UCPD,Rape,V
ROBBERY,UCPD,Robbery,V
SECURITY CHECK,UCPD,Other,N
SEX OFFENSES,UCPD,Sex offense,Q
SHOOTING,UCPD,Shooting,V
SPECIAL EVENT,UCPD,Other,N
STOLEN PROPERTY,UCPD,Stolen property,P
SUICIDE,UCPD,Suicide,N
SUICIDE ATTEMPT,UCPD,Suicide attempt,N
SUSPICIOUS EVENT,UCPD,Suspicious,N
TOW,UCPD,Other,N
TRAFFIC,UCPD,Other,N
TRAFFIC STOP,UCPD,Other,N
U.S. CODE VIOLATION,UCPD,Other,N
VANDALISM,UCPD,Vandalism,P
VEHICLE CODE VIOLATION,UCPD,Other,N
WEAPONS VIOLATIONS,UCPD,Weapon,Q
WELFARE CHECK,UCPD,Welfare check,N
