db_name,canonical_name,lat,long,checked
PEOPLES PARK,People's Park,37.8658134,-122.2570583,1
REC SPRT FAC,Recreational Sports Facility,37.867412,-122.262819,1
LI KA SHING,Li Ka Shing Center,37.87316,-122.265167,1
UCPD,"UC Berkeley Extension, 1995 University Ave #110, Berkeley, CA 94704, USA",37.869598,-122.258776,1
DWINELLE HALL,Dwinelle Hall,37.8707,-122.260552,1
EVANS HALL,Evans Hall,37.8736514,-122.2577944,1
UNKNOWN,"Berkeley, CA, USA",37.8715926,-122.272747,1
UPPER SPROUL PLAZA,Upper Sproul Plaza,37.8695385,-122.2593363,1
ASUC,"Martin Luther King Jr Student Union Asuc, Berkeley, CA 94704, USA",37.8692195,-122.2596727,1
VALLEY LSB,Valley Life Sciences Building,37.8715305,-122.2620337,1
LIFE SCIENCE ADDITION,Life Sciences Addition,37.8713948,-122.2632527,1
HAAS PAVILION,Haas Pavilion,37.869401,-122.2623135,1
GOLDEN BEAR RESTAURANT,Golden Bear Cafe,37.8696075,-122.259606,1
MEMORIAL STADIUM,California Memorial Stadium,37.8712097,-122.2502811,1
I HOUSE,International House,37.869504,-122.251766,1
SATHER TOWER,Sather Tower,37.8720616,-122.2578123,1
TANG CENTER,Tang Center,37.8676679,-122.2642858,1
ANIMAL BEHAVIOR,"Berkeley, CA, USA",37.8715926,-122.272747,1
0 MEMORIAL STADIUM,California Memorial Stadium,37.8712097,-122.2502811,1
UNDERHILL LOT,Underhill Parking and Field,37.8669127,-122.254971,1
UNIVERSITY VILLAGE ALBANY,University Village,37.8849256,-122.3010808,1
WHEELER HALL,Wheeler Hall,37.8713074,-122.2591493,1
SPROUL HALL,Sproul Hall,37.8695068,-122.2587781,1
CAMPUS,Campus,37.8695385,-122.2593363,1
HAAS BUSINESS SCHOOL,Haas School of Business,37.8717284,-122.2533872,1
UNIT-2,Unit 2 Residence Hall,37.8669127,-122.2549711,1
UNIT-3,Unit 3 Residence Hall,37.8671335,-122.2605121,1
UNIT-1,Unit 1 Residence Hall,37.8677857,-122.260512,1
DOE LIBRARY,Doe Memorial Library,37.8722083,-122.2594927,1
WITTER FIELD,Witter Field,37.8711896,-122.248727,1
WURSTER HALL,Wurster Hall,37.8707352,-122.2548935,1
BARROWS HALL,Barrows Hall,37.8700441,-122.2579335,1
UNIVERSITY HALL,University Hall,37.8719085,-122.2664944,1
MOFFITT LIBRARY,Moffitt Undergraduate Library,37.8725425,-122.2608496,1
TOLMAN HALL,Tolman Hall,37.8741044,-122.2638912,1
LAWRENCE HALL OF SCIENCE,Lawrence Hall of Science,37.880289,-122.246218,1
STANLEY HALL,Stanley Hall,37.8740002,-122.2560525,1
0 LI KA SHING,Li Ka Shing Center,37.8731596,-122.2651666,1
