day,hour,violent,property,QOL
1,1,7,16,29
1,2,7,10,30
1,3,2,8,23
1,4,2,5,10
1,5,0,6,3
1,6,2,4,2
1,7,0,3,1
1,8,1,10,2
1,9,3,9,2
1,10,1,18,1
1,11,3,23,1
1,12,1,34,7
1,13,1,20,9
1,14,1,40,8
1,15,4,26,10
1,16,2,28,14
1,17,0,25,7
1,18,2,39,4
1,19,1,30,8
1,20,6,30,7
1,21,3,25,7
1,22,6,23,11
1,23,1,25,18
1,24,2,21,9
2,1,2,12,10
2,2,3,10,16
2,3,1,12,8
2,4,0,4,3
2,5,1,7,3
2,6,0,5,0
2,7,0,12,1
2,8,2,30,0
2,9,2,62,8
2,10,5,75,16
2,11,6,82,11
2,12,5,89,14
2,13,5,90,20
2,14,3,103,14
2,15,5,94,15
2,16,5,93,21
2,17,4,79,17
2,18,0,57,18
2,19,3,54,7
2,20,4,52,5
2,21,4,41,8
2,22,4,49,9
2,23,5,27,17
2,24,4,17,9
3,1,2,7,4
3,2,1,11,5
3,3,1,8,9
3,4,1,4,2
3,5,0,3,4
3,6,0,2,1
3,7,0,5,2
3,8,1,29,5
3,9,1,56,9
3,10,1,73,22
3,11,2,55,20
3,12,4,88,17
3,13,8,81,17
3,14,3,99,16
3,15,7,93,17
3,16,2,98,22
3,17,8,86,18
3,18,4,77,14
3,19,5,66,12
3,20,4,47,15
3,21,2,40,6
3,22,5,36,13
3,23,6,29,6
3,24,4,17,11
4,1,2,11,20
4,2,2,11,19
4,3,1,9,10
4,4,0,3,3
4,5,0,5,2
4,6,0,6,2
4,7,0,5,1
4,8,1,13,5
4,9,2,53,15
4,10,1,75,11
4,11,1,68,12
4,12,3,68,12
4,13,2,83,19
4,14,7,101,16
4,15,7,91,28
4,16,7,103,23
4,17,2,97,27
4,18,3,68,17
4,19,2,43,16
4,20,1,48,19
4,21,5,47,15
4,22,1,29,17
4,23,7,31,14
4,24,1,13,28
5,1,1,12,22
5,2,4,10,20
5,3,3,4,18
5,4,0,4,8
5,5,0,3,0
5,6,1,5,4
5,7,0,8,2
5,8,0,24,7
5,9,0,40,13
5,10,2,62,15
5,11,4,66,20
5,12,4,84,20
5,13,5,81,20
5,14,4,85,18
5,15,2,90,20
5,16,8,106,21
5,17,4,73,13
5,18,5,79,23
5,19,7,51,17
5,20,7,46,19
5,21,3,48,20
5,22,5,38,13
5,23,6,29,28
5,24,4,25,31
6,1,2,17,30
6,2,11,6,27
6,3,5,8,26
6,4,2,5,8
6,5,0,1,6
6,6,0,3,1
6,7,1,9,2
6,8,2,15,5
6,9,1,34,12
6,10,5,65,14
6,11,0,73,13
6,12,4,68,13
6,13,4,76,11
6,14,5,73,10
6,15,1,85,12
6,16,2,77,18
6,17,5,77,33
6,18,5,53,28
6,19,4,57,26
6,20,7,34,31
6,21,7,32,22
6,22,7,30,21
6,23,4,30,23
6,24,6,20,37
7,1,7,22,44
7,2,2,10,38
7,3,3,8,34
7,4,0,6,16
7,5,2,5,3
7,6,1,4,5
7,7,0,2,1
7,8,1,8,0
7,9,3,17,1
7,10,0,22,2
7,11,3,30,4
7,12,5,26,9
7,13,2,40,12
7,14,5,37,25
7,15,3,38,22
7,16,3,40,19
7,17,4,45,28
7,18,3,52,22
7,19,6,40,19
7,20,4,23,13
7,21,2,11,22
7,22,2,24,13
7,23,9,22,23
7,24,7,16,16
