date,Total,Violent,Property,Quality-of-life
01/2010,122,7,89,26
02/2010,150,2,110,38
03/2010,139,13,93,33
04/2010,151,11,101,39
05/2010,134,15,87,32
06/2010,84,7,55,22
07/2010,103,6,78,19
08/2010,148,10,92,46
09/2010,156,12,105,39
10/2010,146,2,108,36
11/2010,165,6,115,44
12/2010,108,4,79,25
01/2011,130,4,90,36
02/2011,131,10,89,32
03/2011,146,6,101,39
04/2011,166,12,123,31
05/2011,98,9,56,33
06/2011,91,5,53,33
07/2011,117,6,59,52
08/2011,161,5,122,34
09/2011,201,9,167,25
10/2011,146,9,115,22
11/2011,126,8,103,15
12/2011,110,4,84,22
01/2012,125,6,96,23
02/2012,152,7,112,33
03/2012,116,5,87,24
04/2012,156,9,106,41
05/2012,138,10,103,25
06/2012,115,7,86,22
07/2012,153,16,99,38
08/2012,167,11,122,34
09/2012,199,10,146,43
10/2012,218,5,155,58
11/2012,145,6,95,44
12/2012,122,7,63,52
01/2013,121,3,72,46
02/2013,167,4,121,42
03/2013,136,4,85,47
04/2013,160,6,113,41
05/2013,166,4,120,42
06/2013,87,6,62,19
07/2013,108,5,73,30
08/2013,146,8,97,41
09/2013,178,9,129,40
10/2013,141,10,95,36
11/2013,130,9,79,42
12/2013,88,5,49,34
01/2014,108,9,55,44
02/2014,139,9,103,27
03/2014,132,7,90,35
04/2014,178,10,129,39
05/2014,151,7,95,49
06/2014,99,4,79,16
07/2014,127,9,93,25
08/2014,114,7,88,19
09/2014,171,11,128,32
10/2014,155,9,101,45
11/2014,137,15,90,32
12/2014,135,10,95,30
01/2015,157,7,108,42
02/2015,129,5,90,34
03/2015,108,12,67,29
04/2015,107,10,72,25
05/2015,93,2,60,31
06/2015,81,2,54,25
07/2015,109,4,74,31
08/2015,104,4,78,22
